fish,session,tank,include,strain,y1.n,entrytotop.min,y1.mean,topbottom.mean,y1.sd,topbottom.sd,y1.skew,y1.se,
55,5,65,1,5G,6836,1925.00,54.6023,.5420,24.95888,.49827,-.089,.030,
56,5,66,1,5G,6726,1805.00,70.8831,.8424,18.84898,.36439,-1.133,.030,
52,5,67,1,5G,6861,1820.00,37.4981,.4292,21.57975,.49500,.204,.030,
54,5,68,1,5G,7274,4085.00,21.4276,.2055,13.91269,.40411,.806,.029,
68,6,11,1,AB,5400,1825.00,62.7097,.6706,22.69236,.47006,-.561,.033,
62,6,12,1,AB,4901,1910.00,47.8975,.3681,18.69598,.48233,.598,.035,
65,6,13,1,AB,1492,1810.00,15.8563,.0543,14.50335,.22666,1.869,.063,
63,6,14,1,AB,4565,1805.00,43.0846,.6846,17.85018,.46474,-.733,.036,
61,6,15,1,AB,4795,1920.00,43.4192,.3912,22.65200,.48808,.279,.035,
67,6,16,1,AB,6891,1915.00,34.6834,.1902,14.86712,.39253,.638,.030,
66,6,17,1,AB,6088,1815.00,60.8386,.9192,12.07363,.27257,-1.835,.031,
64,6,18,1,AB,5441,1905.00,36.6982,.6012,19.45037,.48970,-.503,.033,
65,6,21,1,AB,7744,3930.00,62.4824,.6618,21.38164,.47313,-.384,.028,
68,6,22,1,AB,9465,1805.00,63.4220,.8059,17.87207,.39551,-1.015,.025,
64,6,23,1,AB,9689,3295.00,36.7710,.4069,24.48166,.49127,.153,.025,
62,6,24,1,AB,9599,24930.00,13.7036,.0426,9.53491,.20198,1.545,.025,
66,6,25,1,AB,9298,1980.00,84.7386,.9900,8.19336,.09951,-3.007,.025,
61,6,26,1,AB,9633,2235.00,34.6315,.3435,24.47602,.47490,.473,.025,
63,6,27,1,AB,9624,1805.00,45.8697,.6246,23.11363,.48426,-.520,.025,
67,6,28,1,AB,9656,1820.00,34.3024,.5461,17.10070,.49790,-.515,.025,
65,6,31,1,AB,2602,1805.00,53.0188,.4954,20.87533,.50007,.234,.048,
68,6,32,1,AB,5190,1860.00,59.5071,.6651,21.52797,.47199,-.339,.034,
64,6,33,1,AB,5880,1805.00,35.7244,.4310,23.99710,.49525,.041,.032,
62,6,34,1,AB,5422,8300.00,17.3866,.1020,12.74169,.30267,.689,.033,
66,6,35,1,AB,5845,1820.00,76.2277,.9160,16.14309,.27742,-1.309,.032,
61,6,36,1,AB,5906,1890.00,38.8343,.3813,27.39775,.48575,.402,.032,
63,6,37,1,AB,6403,1805.00,38.5313,.4831,24.76293,.49975,-.103,.031,
67,6,38,1,AB,6679,1805.00,45.9434,.8479,10.70464,.35916,-1.201,.030,
68,6,41,1,AB,4286,1805.00,63.6253,.7538,18.00409,.43082,-.643,.037,
62,6,42,1,AB,6206,7095.00,36.5816,.2573,15.92431,.43720,.573,.031,
65,6,43,1,AB,5865,1910.00,37.1980,.4205,19.50965,.49367,.004,.032,
63,6,44,1,AB,4967,1805.00,33.4578,.5243,18.73424,.49946,-.313,.035,
61,6,45,1,AB,5153,2375.00,42.5863,.3429,22.19597,.47473,.638,.034,
67,6,46,1,AB,7237,1805.00,50.9779,.5625,22.13177,.49611,-.161,.029,
66,6,47,1,AB,7031,1805.00,58.8418,.8966,13.10807,.30450,-1.486,.029,
64,6,48,1,AB,3918,3575.00,26.4010,.3504,19.06100,.47717,.255,.039,
68,6,51,1,AB,2892,1840.00,68.5867,.7981,17.65888,.40151,-.728,.046,
65,6,52,1,AB,2365,1810.00,55.2306,.6169,19.19581,.48624,.028,.050,
61,6,53,1,AB,4783,1810.00,35.8529,.4202,26.41376,.49365,.268,.035,
63,6,54,1,AB,2648,1840.00,28.1696,.4045,15.69494,.49088,-.046,.048,
64,6,55,1,AB,4938,1820.00,48.5911,.4467,26.38289,.49721,.201,.035,
67,6,56,1,AB,7139,1810.00,53.6207,.6147,23.32973,.48671,-.348,.029,
66,6,57,1,AB,5682,1805.00,63.6449,.9000,14.17249,.29998,-1.594,.032,
62,6,58,1,AB,6114,2055.00,34.3919,.5214,17.48155,.49958,-.195,.031,
67,6,61,1,AB,6724,1805.00,70.6694,.7991,19.78130,.40072,-.853,.030,
61,6,62,1,AB,4035,2160.00,41.3158,.4094,22.31627,.49179,.264,.039,
63,6,63,1,AB,5811,1805.00,42.6792,.5054,25.64082,.50001,-.037,.032,
68,6,64,1,AB,6796,1915.00,35.8916,.5868,14.05483,.49244,-.619,.030,
65,6,65,1,AB,5802,1810.00,64.6448,.6680,21.91870,.47096,-.163,.032,
66,6,66,1,AB,6191,1805.00,69.8372,.8677,17.14773,.33883,-1.608,.031,
62,6,67,1,AB,7546,1805.00,42.6953,.5243,18.57107,.49944,-.113,.028,
64,6,68,1,AB,4435,2585.00,24.2509,.2821,17.52566,.45006,.323,.037,
71,7,11,1,5G,5219,1805.00,71.9634,.8095,20.31530,.39270,-1.011,.034,
74,7,12,1,5G,6622,1835.00,68.0577,.7513,22.45649,.43230,-.830,.030,
78,7,13,1,5G,7386,1840.00,48.9698,.6013,19.77460,.48967,-.223,.028,
75,7,14,1,5G,5733,1840.00,29.2148,.4235,18.67901,.49416,.101,.032,
72,7,15,1,5G,6973,2550.00,60.5128,.6147,24.80506,.48671,-.445,.029,
73,7,16,1,5G,5942,2190.00,48.0837,.5478,27.26166,.49775,-.174,.032,
77,7,17,1,5G,6821,2190.00,62.6559,.8499,16.72787,.35722,-1.399,.030,
76,7,18,1,5G,6999,1900.00,31.0277,.4546,20.71188,.49797,.018,.029,
71,7,21,0,5G,196,7495.00,47.7636,.3571,20.44618,.48038,.491,.174,
76,7,22,1,5G,6579,5255.00,48.1919,.4931,24.84826,.49999,.101,.030,
75,7,23,1,5G,6133,7035.00,24.8510,.1914,18.63905,.39345,1.125,.031,
74,7,24,1,5G,4301,5955.00,29.8104,.4018,18.40008,.49031,.381,.037,
78,7,25,1,5G,5356,1805.00,62.2189,.6606,20.32356,.47356,-.385,.033,
72,7,26,1,5G,3390,2145.00,45.8129,.3611,17.39984,.48038,.616,.042,
73,7,27,1,5G,4122,1805.00,27.6086,.2475,20.57947,.43158,.880,.038,
77,7,28,1,5G,5997,2280.00,37.8105,.6053,18.25237,.48883,-.474,.032,
73,7,31,1,5G,2911,2420.00,55.2664,.5060,21.33571,.50005,.173,.045,
